drugbank_id	name	groups	pubchem_ids	description	indications	targets
DB11591	Bilastine	investigational; approved	185460	-	"For symptomatic relief of nasal and non-nasal symptoms of seasonal rhinitis in patients 12 years of age and older and for symptomatic relief in chronic spontaneous urticaria in patients 18 years of age and older [FDA Label]."	P35367
DB11590	Thimerosal	approved	16684434	-	"Used as preservative in some cosmetics, topical pharmaceuticals, and biological drug products, which includes vaccines [L1671, L1672, L1673]."	P22748; P07451; P43166; P18825; P10635; Q9Y2D0; P23280; Q9ULX7; Q9NR96; P18089; Q9UPY5; O43570; Q99707; P08913; P35462; P35218; Q8N1Q1; P31645; P23975; P54710
DB05289	Tarenflurbil	investigational	92337	-	"Investigated for use/treatment in alzheimer's disease and prostate cancer."	Q96BI3; Q92542; Q9NZ42; P49768; Q9Y6K9; Q8WW43; P49810
DB12007	Isoflavone	experimental	72304	-	"Indicated for over-the-counter use as a dietary supplement for increasing bone density and regulating blood fat. "	P37231; Q07869
DB01299	Sulfadoxine	investigational; approved	17134	-	"Sulfadoxine is used in combination with pyrimethamine for the treatment or prevention of malaria. It can also be used to treat various infections in livestock as well.  Sulfadoxine and pyrimethamine is indicated for the treatment of Plasmodium falciparum malaria in those patients in whom chloroquine resistance is suspected. "	P13922
DB01298	Sulfacytine	approved	5322	-	"Used orally in the treatment of acute urinary tract infections."	P0AC13
DB12001	Abemaciclib	investigational; approved	46220502	-	"* Indicated in combination with fulvestrant for the treatment of women with hormone receptor (HR)-positive, human epidermal growth factor receptor 2 (HER2)-negative advanced or metastatic breast cancer with disease progression following endocrine therapy.     * Inidicated as monotherapy for the treatment of adult patients with HR-positive, HER2-negative advanced or metastatic breast cancer with disease progression following endocrine therapy and prior chemotherapy in the metastatic setting. "	Q00534; P11802
DB00315	Zolmitriptan	investigational; approved	60857	-	"For the acute treatment of adult migraine with or without auras."	P28566; Q13639; P28221; P28222; P30939; P08908
DB01291	Pirbuterol	approved	4845	-	"For the prevention and reversal of bronchospasm in patients 12 years of age and older with reversible bronchospasm including asthma."	O60479; P08588; P07550; P17342
DB01297	Practolol	approved	4883	-	"Used in the emergency treatment of cardiac arrhythmias."	Q9UDT6; P08588
DB01296	Glucosamine	investigational; approved	439213	-	"Glucosamine is usually used in the treatment of osteoarthritis, although its efficacy is still in question."	P33673; P01579; Q00653; P14780; P01375
DB01295	Bevantolol	experimental	2372	-	"For the treatment of angina pectoris and hypertension."	P07550; P08588; P35348
DB00314	Capreomycin	approved	3000502	-	"Used in the treatment of tuberculosis in combination with other drugs."	P9WJ63
DB09112	Nitrous acid	investigational; approved	23668193	-	"For sequential use with sodium thiosulfate for the treatment of acute cyanide poisoning that is judged to be life-threatening [FDA Label]."	P00918; P02144; P69905; P00915; P68871
DB09115	Diiodohydroxyquinoline	approved	3728	-	"Used in the treatment of amoebiasis."	P00533; P06241; P04626; P06239
DB09116	Calcium carbimide	withdrawn; approved	56955933	-	"Calcium carbimide has not been approved by the FDA but the intended indication is for the treatment of alcoholism.[T74] This medication was marketed in Canada, United Kingdom and Europe under the trade name of Temposil for the sole use of alcoholism treatment.[L1114]"	P48448
DB09118	Stiripentol	approved	5311454	-	"Indicated for use in conjunction with clobazam and valproate as adjunctive therapy of refractory generalized tonic-clonic seizures in patients with severe myoclonic epilepsy in infancy (SMEI, Dravet?s syndrome) whose seizures are not adequately controlled with clobazam and valproate."	P08684; Q9UN88; P30531; P07195; P00338
DB09119	Eslicarbazepine acetate	approved	179344	-	"Eslicarbazepine acetate is indicated as adjunctive therapy in the treatment of partial-onset seizures that are not adequately controlled with conventional therapy in epileptic patients. "	Q14524; Q9UQD0; Q01118; Q99571; Q9UI33; P35498; Q99250; P35499; Q9Y5Y9; Q15858; Q9NY46
DB08439	Parecoxib	approved	119828	-	"Used for short term perioperative pain control."	P35354; P23219; P02788
DB01349	Tasosartan	experimental	60919	-	"Tasosartan is infrequently in the treatment of hypertension and heart failure."	P50052; P30556
DB01348	Spirapril	approved	5311447	-	"Spirapril is an ACE inhibitor class drug used to treat hypertension."	P12821
DB01345	Potassium cation	investigational; approved	5462222	-	"Potassium is used to regulate hypokalemia as a primary condition or secondary to other medical conditions. "	P05023
DB05137	Lobeline	investigational	101616	-	"Investigated for use/treatment in addictions."	Q9UGM1; Q494W8; Q9GZZ6; P36544
DB01347	Saprisartan	experimental	60921	-	"Saprisartan is used in the treatment of hypertension and heart failure."	P30556
DB01340	Cilazapril	approved	56330	-	"Cilazapril is an ACE inhibtor class drug used in the treatment of hypertension and heart failure."	P12821
DB01342	Forasartan	experimental	132706	-	"For the treatment of hypertension."	P30556
DB12483	Copanlisib	investigational; approved	24989044	-	"Indicated for the treatment of adult patients with relapsed follicular lymphoma (FL) who have received at least two prior systemic therapies."	P27986; P48736; P42338; P42336; Q92569; O00459; Q8WYR1; O00329
DB12267	Brigatinib	investigational; approved	68165256	-	"The anaplastic lymphoma kinase positive, metastatic non-small cell lung cancer (ALK+ NSCLC), represents only 3-5% of the NSCLC cancer cases, but the ALK mutation, overexpression and presence in several oncogenic fusion proteins in solid and hematologic tumors have pointed out the importance as well as its potential as a cancer therapy target.[A31311] The ALK-related cases of NSCLC are associated with the presence of the fusion gene EML4-ALK which fused the ALK protein with the echinoderm microtubule-associated protein like-4 whose original function is the correct formation of microtubules.[A31313] The presence of the aberrant fusion protein results in abnormal signaling that provokes increased cell growth, proliferation and survival.[A31316] Crizotinib is indicated for the treatment of such cases but the presence of ALK kinase domain mutations confer resistance to the treatment. Thus, brigatinib is indicated for the treatment of patients with ALK+ NSCLC with intolerance to Crizotinib.[A31314]"	P00533; P08069; Q9UM73; P04626; P06213; P08922; Q15303; P08581; P36888; P00519
DB12466	Favipiravir	investigational; approved	492405	-	"In 2014, favipiravir was approved in Japan to treat cases of influenza that were unresponsive to conventional treatment.[A191721] Given its efficacy at targetting several strains of influenza, it has been investigated in other countries to treat novel viruses including Ebola and most recently, COVID-19.[A191688,A191724,L12012]"	Q809M3
DB00851	Dacarbazine	investigational; approved	5351166	-	"For the treatment of metastatic malignant melanoma. In addition, dacarbazine is also indicated for Hodgkin's disease as a secondary-line therapy when used in combination with other antineoplastic agents."	Q14181; P52209; P07306
DB00500	Tolmetin	approved	5509	-	"For the relief of signs and symptoms of rheumatoid arthritis and osteoarthritis, including the treatment of acute flares long-term management. Also for treatment of juvenile rheumatoid arthritis."	P35354; P23219; P15121
DB00501	Cimetidine	investigational; approved	2756	-	"For the treatment and the management of acid-reflux disorders (GERD), peptic ulcer disease, heartburn, and acid indigestion."	Q7RTT9; P28223; P25021; Q96FL8; O75473; Q9BXB1
DB00502	Haloperidol	approved	3559	-	"Haloperidol is indicated for a number of conditions including for the treatment of schizophrenia, for the manifestations of psychotic disorders, for the control of tics and vocal utterances of Tourette?s Disorder in children and adults, for treatment of severe behavior problems in children of combative, explosive hyperexcitability (which cannot be accounted for by immediate provocation). Haloperidol is also indicated in the short-term treatment of hyperactive children who show excessive motor activity with accompanying conduct disorders consisting of some or all of the following symptoms: impulsivity, difficulty sustaining attention, aggressivity, mood lability, and poor frustration tolerance. Haloperidol should be reserved for these two groups of children only after failure to respond to psychotherapy or medications other than antipsychotics.[F4645]"	Q12809; P35462; P18825; P28221; P28222; P28223; P18089; Q99705; P35372; Q99250; P11229; Q99720; P34969; P21728; P35348; P30939; P08912; P08913; P14416; P23975; P0DP24; P0DP25; P0DP23; P28335; P41595; Q05940; P21918; P35498; P35368; P35367; P31645; Q9NY46; P21917; P25021; Q13224; P25100; P50406; P20309; P08908; P07550; O95259; P01011
DB00503	Ritonavir	investigational; approved	392622	-	"Indicated in combination with other antiretroviral agents for the treatment of HIV-1 infection."	P41145; P10635; P35372; P20815; Q8IZI9; P08684; O75469; P37288
DB00504	Levallorphan	approved	5359371	-	"For the complete or partial reversal of narcotic depression, including respiratory depression, induced by opioids."	P41145; P35372; Q15822
DB00505	Tridihexethyl	withdrawn	20299	-	"Used as an adjunct in the treatment of peptic ulcer disease and in Acquired nystagmus"	P08172; P11229; P20309
DB00507	Nitazoxanide	investigational; vet_approved; approved	41684	-	"For the treatment of diarrhea in adults and children caused by the protozoa <i>Giardia lamblia</i>,  and for the treatment of diarrhea in children caused by the protozoan,  <i>Cryptosporidium parvum</i> [FDA label].    Nitazoxanide has not been shown to be superior to placebo medication for the management of diarrhea caused by Cryptosporidium parvum in patients with HIV/immunodeficiency [FDA label, A31973, A31976]. "	Q968X7; P15121
DB00508	Triflupromazine	vet_approved; approved	5568	-	"Used mainly in the management of psychoses. Also used to control nausea and vomiting."	P08172; P11229; P28223; P41595; P21728; Q9Y2T6; P14416
DB00509	Dextrothyroxine	investigational; approved	8730	-	"Used to lower high cholesterol levels in the blood."	P10827; P07202; P10828
DB00728	Rocuronium	approved	441290	-	"For inpatients and outpatients as an adjunct to general anesthesia to facilitate both rapid sequence and routine tracheal intubation, and to provide skeletal muscle relaxation during surgery or mechanical ventilation."	P08172; Q15822; P11230; P07510; P46098; P02708; Q04844; Q07001
DB13191	Phosphocreatine	nutraceutical	9548602	-	"Phosphocreatine is a naturally occuring substance that is found predominantly in the skeletal muscles of vertebrates. Its primary utility within the body is to serve in the maintanence and recycling of adenosine triphosphate (ATP) for muscular activity like contractions.    Given this utility of phosphocreatine to recycle ATP, the most plausible therapeutic potentials for its use involve conditions caused by energy shortage or by increased energy requirements - such as in ischemic stroke and other cerebrovascular diseases. It is important to note however that relatively little clinical research has been done to significantly further the evidence for any such indications, although it is administered intravenously for cardiovascular conditions in some countries.    Additionally, because phosphocreatine is not regulated as a controlled substance it is taken as a supplement by some professional athletes as a means to perhaps increase short bursts of muscle strength or energy for professional athletics. "	Q14353; P12277; P06732; P12532; P17540; P48029
DB00720	Clodronic acid	investigational; vet_approved; approved	25419	-	"For the management of hypercalcemia of malignancy and as an adjunct in the management of osteolysis resulting from bone metastases of malignant tumors."	P12236; P12235; P05141; Q9BYT1
DB01638	Sorbitol	approved	5780	-	"Used as a non-stimulant laxative via an oral suspension or enema."	P24300; P12070; P12851; P37330
DB00722	Lisinopril	investigational; approved	5362119	-	"Lisinopril is indicated for the treatment of acute myocardial infarction, hypertension in patients ?6 years, and as an adjunct therapy for heart failure.[L8384,L8387] A combination product with hydrochlorothiazide is indicated for the treatment of hypertension.[L8390]"	Q9BYF1; P00797; P12821
DB00723	Methoxamine	investigational; approved	6082	-	"Indicated for the treatment and management of hypotension."	P35368; P35348; P25100; P47211
DB00724	Imiquimod	investigational; approved	57469	-	"For the topical treatment of clinically typical, nonhyperkeratotic, nonhypertrophic actinic keratoses on the face or scalp in immunocompetent adults. Also indicated for the treatment of external genital and perianal warts/condyloma acuminata in individuals 12 years old and above."	P25021; P29274; Q9NR97; P25100; Q9NYK1
DB00725	Homatropine methylbromide	approved	6646	-	"Used in conjunction with antacids or histamine H2-receptor antagonists in the treatment of peptic ulcers, gastric ulcers and duodenal ulcers, to reduce further gastric acid secretion and delay gastric emptying."	P08172; P08173; P08912; P11229; P20309
DB00726	Trimipramine	approved	5584	-	"For the treatment of depression and depression accompanied by anxiety, agitation or sleep disturbance"	P46098; P28335; P08909; P10635; P28223; P28221; Q01959; P25100; P21918; P08912; P08913; P18089; P14416; P35368; P35367; P31645; P23975; P35348; P13945; P08908
DB00727	Nitroglycerin	investigational; approved	4510	-	"Nitroglycerin is indicated for various purposes.[L4894] It is indicated to prevent and treat angina or chest pain due to cardiovascular disease, as well as to treat peri-operative hypertension or induce intra-operative hypotension.[L4429,L7099] It is also indicated to treat acute heart failure in patients with myocardial infarction.[L7099] In the ointment form, nitroglycerin is indicated to treat pain caused by anal fissures.[L7096] The transdermal form is applied directly to the skin to prevent acute anginal attacks.[L7141]     The intravenous form is used off-label in emergency settings and is commonly used to treat acute coronary spasm caused by cocaine, hypertensive emergencies, as well as acute congestive heart failure exacerbations.[T628] Some other off-label uses of nitroglycerin include management of variceal hemorrhage[A180280], management of esophageal spasticity[A180283], and induction of uterine relaxation.[A180277]"	P16066; O75343; P00533; Q02153; P33402; Q02108; P29400
DB01125	Anisindione	approved	2197	-	"For the prophylaxis and treatment of venous thrombosis and its extension, the treatment of atrial fibrillation with embolization, the prophylaxis and treatment of pulmonary embolism, and as an adjunct in the treatment of coronary occlusion."	P38435; P02774
DB06820	Sulconazole	approved	5318	-	"Sulconazole solution 1.0% is indicated for the treatment of tinea cruris and tinea corporis caused by Trichophyton rubrum, Trichophyton mentagrophytes, Epidermophyton floccosum, and Microsporum canis, and for the treatment of tinea versicolor. Effectiveness has not been proven in tinea pedis (athlete?s foot)."	P10613; P28335; P11229; P08173; P18825; P10635; P28223; Q01959; P18089; Q96RI1; P08912; P08913; P08684; P41595; P20309; P31645; P06241; P23975; P35462
DB00348	Nitisinone	investigational; approved	115355	-	"Used as an adjunct to dietary restriction of tyrosine and phenylalanine in the treatment of hereditary tyrosinemia type 1."	P32754
DB01126	Dutasteride	investigational; approved	6918296	-	"Indicated for the treatment of symptomatic benign prostatic hyperplasia (BPH) in men with an enlarged prostate gland to improve symptoms, and reduce the risk of acute urinary retention and the need for BPH-related surgery alone or in combination with [tamsulosin].[L10568]"	P31213; P23415; Q9H8P0; P18405
DB01121	Phenacemide	approved	4753	-	"Used to control certain seizures in the treatment of epilepsy."	Q14524; Q15858; Q9UQD0; Q01118; Q9UI33; P35498; Q99250; P35499; Q9Y5Y9; Q9BXA5; Q9NY46
DB00439	Cerivastatin	withdrawn; approved	446156	-	"Used as an adjunct to diet for the reduction of elevated total and LDL cholesterol levels in patients with primary hypercholesterolemia and mixed dyslipidemia (Fredrickson Types IIa and IIb) when the response to dietary restriction of saturated fat and cholesterol and other non-pharmacological measures alone has been inadequate."	P04035
DB06827	Viomycin	approved	3037981	-	"Viomycin is an essential component in the drug cocktail currently used to fight infections of Mycobacterium tuberculosis."	P9WH85; P9WH83; P9WH81; P9WH87; P9WJ63; P9WH67; P9WH89; A5U0A0; C1AL48; P9WH25; P9WH27; P0A5X1; A0QL02; P9WH29; P9WHC3; C1AL34; P9WHC1; P9WH45; P9WHC7; P9WH65; P9WH66; P9WH41; A1KGB4; A1KGI1; P9WHC9; P9WHE5; P9WH53; P9WH49; P9WHA9; P9WHC5; P9WHE7; P9WHE1; P9WHE3; P9WHA1; P9WHA3; P66070; P9WHA5; P9WHA7; B2HSN0; P9WH91; P9WH93; P9WH95; P9WH94; P9WH97; P9WH47; P9WH99; P9WH33; P9WH31; P9WH63; P9WH37; A5U019; P9WH35; P9WH61; P9WH39; A1KGJ5; P9WH43; P9WH55; P9WHB5; P9WH57; P9WHB7; P9WH51; P9WHB1; P9WH79; Q73S98; P0A5W3; P9WHB3; P9WH59; P9WHB9; P9WHD7; P9WHD5; P9WHD3; A5U086; P9WHD1; P9WHD8; P9WHD9
DB01122	Ambenonium	approved	2131	-	"Ambenonium is used to treat muscle weakness due to muscle disease (myasthenia gravis)."	P22303
DB00434	Cyproheptadine	approved	2913	-	"For treatment of perennial and seasonal allergic rhinitis, vasomotor rhinitis, allergic conjunctivitis due to inhalant allergens and foods, mild uncomplicated allergic skin manifestations of urticaria and angioedema, amelioration of allergic reactions to blood or plasma, cold urticaria, dermatographism, and as therapy for anaphylactic reactions adjunctive to epinephrine."	P08172; Q12809; Q99250; P08173; P18825; P28221; P28223; P35462; Q92633; Q9UBY5; P11229; P34969; P08912; P35348; P21728; P08913; P14416; P23975; P0DP24; P0DP25; P0DP23; P28335; P41595; P18089; P35368; P35367; Q9NY46; P25021; P25100; P50406; P20309; P08908; P31645; P01011; P35498
DB00343	Diltiazem	investigational; approved	39186	-	"**Oral**    Indicated for the management of hypertension, to lower blood pressure, alone or in combination with other antihypertensive agents.[L10556]    Indicated for use to improve exercise tolerance in patients with chronic stable angina.[L10556]    Indicated for the management of variant angina (Prinzmetal's angina).[L6298]    **Intravenous**    Indicated for the short-term management of atrial fibrillation or atrial flutter for temporary control of rapid ventricular rate.[L6292]    Indicated for the rapid conversion of paroxysmal supraventricular tachycardias (PSVT) to sinus rhythm. This includes AV nodal reentrant tachycardias and reciprocating tachycardias associated with an extranodal accessory pathway such as the WPW syndrome or short PR syndrome.[L6292]    **Off-label**    Indicated for off-label uses in anal fissures (as topical formulation), migraine prophylaxis, cramps in lower leg related to rest, pulmonary hypertension,[L6289] idiopathic dilated cardiomyopathy, and proteinuria associated with diabetic nephropathy.[L6298]"	Q12809; O95180; Q06432; P28223; P54289; Q13936; P08684; P35498; Q99250; P46098; Q13698; O60840; Q01668; P22460; Q9NY46
DB00436	Bendroflumethiazide	approved	2315	-	"For the treatment of high blood pressure and management of edema related to heart failure."	P00918; P22748; Q13621; P00915; P55017; Q92952; Q9H2S1; Q12791
DB00341	Cetirizine	approved	2678	-	"**Seasonal Allergic Rhinitis**: Indicated for the relief of symptoms associated with seasonal allergic rhinitis caused by allergens such as ragweed, grass and tree pollens in adults and children 2 years of age and above. Symptoms treated effectively include sneezing, rhinorrhea, nasal pruritus, ocular pruritus, tearing, and redness of the eyes [FDA label].     **Perennial allergic rhinitis**: This drug is indicated for the relief of symptoms associated with perennial allergic rhinitis due to allergens including dust mites, animal dander, and molds in adults and children 6 months of age and older. Symptoms treated effectively include sneezing, rhinorrhea, postnasal discharge, nasal pruritus, ocular pruritus, and tearing [FDA label].     **Chronic urticaria**: Cetirizine is indicated for the treatment of the uncomplicated skin manifestations of chronic idiopathic urticaria in adults and children 6 months of age and older. It markedly reduces the occurrence, severity, and duration of hives and significantly reduces pruritus [FDA label]."	P35367; Q02763; Q12809
DB01129	Rabeprazole	investigational; approved	5029	-	"For the treatment of acid-reflux disorders (GERD), peptic ulcer disease, H. pylori eradication, and prevention of gastroinetestinal bleeds with NSAID use."	P20648; P05023; P28221; P18089; P33261; P21860; P35462; P51164; Q15303
DB00431	Lindane	withdrawn; approved	727	-	"For the treatment of patients infested with Sarcoptes scabiei or pediculosis capitis who have either failed to respond to adequate doses, or are intolerant of other approved therapies."	P23416; P06401; P24046; P23415; P18507; P18505; O75311; P03372; P14867; P28472; O75469; Q16445; P48167
DB00432	Trifluridine	investigational; approved	6256	-	"Trifluridine is used for the treatment of primay keratoconjunctivitis and recurrent epithelial keratitis due to herpes simplex virus, types 1 and 2 in ophthalmic solutions.    Trifluridine, in combination with tipiracil as oral tablets, is indicated for the treatment of adult patients with metastatic colorectal cancer who have been previously treated with fluoropyrimidine-, oxaliplatin- and irinotecan-based chemotherapy, an anti-VEGF biological therapy, and if RAS wild-type, an anti-EGFR therapy [FDA Label]."	P04818
DB00345	Aminohippuric acid	investigational; approved	2148	-	"Used to measure effective renal plasma flow (ERPF) and to determine the functional capacity of the tubular excretory mechanism."	Q4U2R8
DB00654	Latanoprost	investigational; approved	5311221	-	"Latanoprost is indicated for the reduction of elevated intraocular pressure in patients who have been diagnosed with open-angle glaucoma or ocular hypertension.[L8357] Latanoprost may be combined in a product with [Netarsudil], a rho kinase inhibitor, for the same indications.[L8369] In addition to the above indications, the Canadian monograph for this drug also approves latanoprost for the treatment of elevated intraocular pressure as a result of angle-closure glaucoma that has been treated with peripheral iridotomy or laser iridoplasty.[L8366]"	P34995; P43088; P43115
DB00655	Estrone	approved	5870	-	"For management of perimenopausal and postmenopausal symptoms."	Q92731; P41595; P03372; P10275; P04278; P31645; P11511
DB00656	Trazodone	investigational; approved	5533	-	"Trazodone is indicated for the treatment of major depressive disorder (MDD).[L3484] It has been used off-label for adjunct therapy in alcohol dependence, and off-label to treat anxiety and insomnia.[L3484] It may also be used off-label to treat symptoms of dementia, Alzheimer?s disease, schizophrenia, eating disorders, and fibromyalgia due to its effects on various neurotransmitter receptors.[A31634]"	P34969; P18825; P28221; P28223; P35462; Q99720; Q12809; Q01959; P21728; P08913; P14416; P23975; P28335; P18089; P41595; P35368; P35367; P35348; P25021; P25100; P08909; P08908; P31645
DB00657	Mecamylamine	investigational; approved	4032	-	"For the treatment of moderately severe to severe essential hypertension and in uncomplicated cases of malignant hypertension"	Q15825; P32297; P02708; P43681; Q494W8; Q05901; P36544; Q15822; P17787; P30926
DB00650	Leucovorin	approved	6006	-	"For the treatment of osteosarcoma (after high dose methotrexate therapy). Used to diminish the toxicity and counteract the effects of impaired methotrexate elimination and of inadvertent overdosages of folic acid antagonists, and to treat megaloblastic anemias due to folic acid deficiency. Also used in combination with 5-fluorouracil to prolong survival in the palliative treatment of patients with advanced colorectal cancer."	P00374; P04818; P46734; Q02750; P45985
DB00651	Dyphylline	approved	3182	-	"For relief of acute bronchial asthma and for reversible bronchospasm associated with chronic bronchitis and emphysema."	Q13946; P27815; Q14432; Q9NP56; Q08493; Q07343; Q08499; P29274; P30542
DB00652	Pentazocine	vet_approved; approved	441278	-	"For the relief of moderate to severe pain."	P41145; Q99720; P35372; P55055; P41143
DB00653	Magnesium sulfate	investigational; vet_approved; approved	24083	-	"Used for immediate control of life-threatening convulsions in the treatment of severe toxemias (pre-eclampsia and eclampsia) of pregnancy and in the treatment of acute nephritis in children. Also indicated for replacement therapy in magnesium deficiency, especially in acute hypomagnesemia accompanied by signs of tetany similar to those of hypocalcemia. Also used in uterine tetany as a myometriat relaxant."	Q06432; P54289; Q08289; Q13936; Q02641; Q13698
DB06771	Besifloxacin	approved	10178705	-	"Treatment of bacterial conjunctivitis. Bacterial isolates that are susceptible to besifloxacin include: CDC coryneform group G, Corynebacterium pseudodiphtheriticum, Corynebacterium striatum, Haemophilus influenzae, Moraxella lacunata, Staphylococcus aureus, Staphylococcus epidermidis, Staphylococcus hominis, Staphylococcus lugdunensis, Streptococcus mitis group, Streptococcus oralis, Streptococcus pneumoniae, Streptococcus salivarius* "	P72524; P72525; P0AFI2; P0AES4; P0AES6; P43700; P43702; P20083
DB09495	Avobenzone	investigational; approved	51040	-	"Sun protection factor, added in the sunscreen products for its wide spectrum ultraviolet absorption properties. "	P14679
DB06772	Cabazitaxel	approved	9854073	-	"For treatment of patients with hormone-refractory metastatic prostate cancer previously treated with a docetaxel-containing treatment regimen."	Q9BQE3; Q9BVA1; P68366; P0DPH7; P68363; Q6PEY2; P0DPH8; P68371; Q71U36; Q9H4B7; P07437; Q13885; Q13509; Q3ZCM7; Q9BUF5; P04350
DB06775	Carglumic acid	approved	121396	-	"For the treatment of acute and chronic hyperammonaemia in patients with N-acetylglutamate synthase (NAGS) deficiency. This enzyme is an important component of the urea cycle to prevent build up of neurotoxic ammonium in the blood. "	P31327; Q8N159
DB06774	Capsaicin	approved	1548943	-	"The capsaicin 8% patch is indicated in the treatment of neuropathic pain associated with post-herpetic neuralgia. There are multiple topical capsaicin formulations available, including creams and solutions, indicated for temporary analgesia in muscle and join pain as well as neuropathic pain. "	Q8NER1; Q99623; P23219; P13569
DB06777	Chenodeoxycholic acid	approved	10133	-	"Chenodiol is indicated for patients with radiolucent stones in well-opacifying gallbladders, in whom selective surgery would be undertaken except for the presence of increased surgical risk due to systemic disease or age. Chenodiol will not dissolve calcified (radiopaque) or radiolucent bile pigment stones."	Q8TDU6; Q96RI1; P21462; O75469; P52895
DB04889	Bicifadine	investigational	47953	-	"For the treatment of pain."	P31645; P23975; P00390; P14416
DB04888	Bifeprunox	investigational	208951	-	"Bifeprunox is being evaluated for the treatment of schizophrenia, psychosis, and Parkinson's disease."	P28223; P35462; P34969; P14416; P08908; P28335
DB04552	Niflumic acid	experimental	4488	-	"Used in the treatment of rheumatoid arthritis."	P04054; P35523; P23219; Q5XXA6; P51787; P02766; P35354; P51800; P51801; O60733; Q6UVM3; P47712
DB04883	Darusentan	investigational	177236	-	"For the treatment of congestive heart failure and hypertension."	P24530; P25101
DB04882	Edotecarin	investigational	9808998	-	"Clinical studies with edotecarin have shown activity in subjects with colorectal cancer, esophageal cancer and other solid tumors."	P11387
DB04885	Cilansetron	investigational	6918107	-	"For the treatment of symptoms associated with irritable bowel syndrome."	O95264; P46098
DB04884	Dapoxetine	investigational	71353	-	"For the treatment of premature ejaculation."	P31645; P28222; P28335; P08908
DB04886	Calanolide A	investigational	64972	-	"For use in combination treatment of HIV infection (AIDS)."	P03369
DB00237	Butabarbital	illicit; approved	2479	-	"For short-term treatment of insomnia and anxiety disorders"	Q9UN88; P28472; P43681; P18505; O00591; Q494W8; P48169; P14867; Q8N1C3; P47869; P47870; Q13002; P36544; Q16445; P31644; P18507; O14764; P34903; Q99928; P42262; P78334
DB00234	Reboxetine	approved; experimental	127151	-	"For the treatment of clinical depression."	P31645; P28335; P23975; Q01959
DB00235	Milrinone	approved	4197	-	"Indicated for the treatment of congestive heart failure."	P27815; O76074; O00408; Q14432; Q13370; Q08493; Q07343; Q08499
DB00232	Methyclothiazide	approved	4121	-	"For use in the management of hypertension either as the sole therapeutic agent or to enhance the effect of other antihypertensive drugs in the more severe forms of hypertension. Also used as adjunctive therapy in edema associated with congestive heart failure, hepatic cirrhosis, and corticosteroid and estrogen therapy."	P00918; P22748; Q13621; P00915; P55017; Q99572
DB00233	Aminosalicylic acid	approved	4649	-	"For the treatment of tuberculosis"	O15111; P09917; P9WNX1; P9WNC7; Q9NZK7; P35354; P23219
DB00230	Pregabalin	investigational; approved	5486971	-	"Pregabalin is indicated for the management of neuropathic pain associated with diabetic peripheral neuropathy, postherpetic neuralgia, fibromyalgia, neuropathic pain associated with spinal cord injury, and as adjunctive therapy for the treatment of partial-onset seizures in patients 1 month of age and older.[L7066]"	Q9UBN1; P54289; P62955; Q06432; Q9Y698; O60840; Q00975; O95180; Q08289; Q9P0X4; Q7Z3S7; O43497; Q01668; Q9UF02; Q15878; Q8WXS5; Q8IZS8; Q02641; O00305; Q9BXT2; Q9NY47; P54284; O00555; O60359; Q13936; Q13698
DB00231	Temazepam	investigational; approved	5391	-	"Temazepam is specifically indicated only for the short-term management of insomnia [FDA Label], [L5539]. Furthermore, such management is generally predominantly associated with the symptomatic relief of transient and short-term insomnia characterized by difficulty in falling asleep, frequent nocturnal awakenings and/or early morning awakenings [F3718]. In particular, the official prescribing information for temazepam typically specifies that the instructions issued for dispensed prescriptions of the medication should indicate specifically that patients are only expected to use the therapy for short periods of time - usually 7-10 days in general [FDA Label, F3718]. Subsequently, treatment with temazepam should usually not exceed 7 to 10 consecutive days and nor should it be prescribed in quantities exceeding a one-month supply [F3718].    Some regional prescribing information also notes that temazepam may be used for premedication prior to minor surgery or other related procedures [L5539]."	O43603; P24046; A8MPY1; P47869; Q16445; P78334; P30536; P18507; P18505; Q8N1C3; P14867; O00591; P47211; Q9UN88; P28472; P28476; O14764; P48169; P34903; P47870; P31644; Q99928
DB00239	Oxiconazole	approved	5353853	-	"For treatment of dermal fungal infection."	Q8WUX1; P10613; Q8IY34; P18825; P10635; P28223; O75469; P35462; Q04782; P11229; Q8N697; Q01959; P21728; P08913; P23975; P22303; P41143; P41595; P08684; P18089; P13945; P20309; P08908; P31645
DB06176	Romidepsin	investigational; approved	57515973	-	"For the treatment of cutaneous T-cell lymphoma (CTCL) or/and peripheral T-cell lymphoma (PTCL) in patients who have received at least one prior systemic therapy. These indications are based on response rate. Clinical benefit such as improvement in overall survival has not been demonstrated. "	Q969S8; O75376; Q9UQL6; Q9Y618; P56524; Q96DB2; Q9BY41; Q13547; Q92769; Q9UKV0; Q8WUI4; P33527; Q9UBN7; O15379
DB11915	Valbenazine	investigational; approved	24795069	-	"For the treatment of tardive dyskinesia in adults [FDA Label]."	P10635; Q05940
DB04957	Azimilide	investigational	9571004	-	"Investigated for use/treatment in arrhythmia and atrial fibrillation."	Q12809; P51787; P15382
DB00554	Piroxicam	investigational; approved	54676228	-	"For treatment of osteoarthritis and rheumatoid arthritis."	P23786; P11712; P35354; P23219
DB04953	Ezogabine	investigational; approved	121892	-	"Adjuvant treatment of partial-onset seizures. "	O43525; P56696; P51787; Q9NR82; O43526
